"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,3.335114764E-3,-6.195673160E-3,1.201953650E-2,1.392762054E-2
1.001000000E-2,7.362265773E-3,-1.313804490E-2,1.605879307E-2,2.201581286E-2
2.002000000E-2,2.552373586E-3,2.927947557E-3,1.261361361E-2,1.319813381E-2
3.003000000E-2,2.425680868E-3,-1.260303380E-4,2.534007847E-2,2.545622494E-2
4.004000000E-2,-1.657036962E-3,-2.804575874E-3,1.755743444E-2,1.785706923E-2
5.004900000E-2,2.084066430E-3,-2.470695293E-3,1.142019689E-2,1.186880639E-2
6.005900000E-2,-5.634879498E-3,-1.015808910E-2,1.920225620E-2,2.244248837E-2
7.006900000E-2,-7.583948337E-3,-1.032467536E-2,7.905435562E-4,1.283511405E-2
8.007900000E-2,-6.202452276E-3,2.448955528E-3,2.728427768E-2,2.808735669E-2
9.008900000E-2,-9.112035921E-3,-8.734113928E-3,2.159786046E-2,2.501562554E-2
1.000990000E-1,-3.465434583E-3,-4.126407495E-3,1.830529332E-2,1.908193489E-2
1.101080000E-1,-3.760115979E-3,-4.782931041E-3,1.635875523E-2,1.745347456E-2
1.201180000E-1,-6.804788578E-4,-2.288540821E-3,1.561089635E-2,1.579242082E-2
1.301280000E-1,-7.230401924E-3,-2.758177305E-3,2.294447422E-2,2.421435837E-2
1.401380000E-1,-1.840740032E-3,-9.110373119E-4,1.860408604E-2,1.871711330E-2
1.501480000E-1,1.600638740E-3,-7.132113883E-3,1.366552770E-2,1.549760434E-2
1.601570000E-1,-4.423893727E-3,-3.941206075E-4,1.935603797E-2,1.985906274E-2
1.701670000E-1,-2.954579797E-3,2.339585186E-3,2.714219034E-2,2.740258559E-2
1.801770000E-1,-2.798422594E-3,-4.613238447E-3,1.890697181E-2,1.966180869E-2
1.901870000E-1,1.694669276E-3,-3.614255358E-3,1.501272619E-2,1.553437135E-2
2.001970000E-1,-8.905035350E-4,-1.088722318E-2,2.459221959E-2,2.690914138E-2
2.102060000E-1,-2.728584912E-3,-2.659098976E-3,1.486128330E-2,1.534189442E-2
2.202160000E-1,-3.299309704E-3,-8.179327366E-3,2.788420200E-2,2.924577853E-2
2.302260000E-1,6.491323002E-4,-4.255749732E-3,2.429167271E-2,2.467018730E-2
